CODE;FUNCTION CALL;DESCRIPTION;SPATIAL
P98WetAmount;index.wetAmount.prcXXth('prob' = 0.98);Total amount above 98th percentile of wet (>=1 mm) days;F
AnnualCyclePhase;index.annual.cycle('dates' = TRUE, 'type' = 'phase');Maximum of the daily annual cycle including a phase;F
AnnualCycleAsymmetry;index.annual.cycle('dates' = TRUE, 'type' = 'asymmetry');Difference in days between maximum and minimum of the filtered cycle;F
VarM;index.internal.var('dates' = TRUE, 'type' = 'monthly');Monthly variability;F
VarY;index.internal.var('dates' = TRUE, 'type' = 'interannual');Interannual variability;F
Trend;index.trend('dates' = TRUE, 'output' = 'coef');Linear trend of the interannual time series;F
TrendSig;index.trend('dates' = TRUE, 'output' = 'sig');Significance (0.05 level) of the trend (binary, 1=significant);F
AnnualCycleAmp_filtered;index.annual.cycle.filtered('peak' = 1, 'dates' = TRUE, 'type' = 'amp');Amplitude of the daily annual cycle after filtering;F
AnnualCycleRelAmp_filtered;index.annual.cycle.filtered('peak' = 1, 'dates' = TRUE, 'type' = 'amprel');Relative amplitude of the daily annual cycle (%, relative to the mean) after filtering;F
AnnualCyclePhasePeak1_filtered;index.annual.cycle.filtered('peak' = 1, 'dates' = TRUE, 'type' = 'phase'); ;F
AnnualCyclePhasePeak2_filtered;index.annual.cycle.filtered('peak' = '2', 'dates' = TRUE, 'type' = 'phase'); ;F
SpatialCorPearson;index.spatial.cor('type' = 'pearson');Spatial pairwise Pearson correlation;T
SpatialCorSpearman;index.spatial.cor('type' = 'spearman');Spatial pairwise Spearman correlation;T
LaggedCrossCorPearson1;index.spatial.laggedCrosCor('dates' = TRUE, 'lag' = 1, 'type' = "pearson");Lag-1 spatial Pearson Cross-correlations;T
LaggedCrossCorPearson2;index.spatial.laggedCrosCor('dates' = TRUE, 'lag' = 2, 'type' = "pearson");Lag-2 spatial Pearson Cross-correlations;T
LaggedCrossCorPearson3;index.spatial.laggedCrosCor('dates' = TRUE, 'lag' = 3, 'type' = "pearson");Lag-3 spatial Pearson Cross-correlations;T
LaggedCrossCorSpearman1;index.spatial.laggedCrosCor('dates' = TRUE, 'lag' = 1, 'type' = "spearman");Lag-1 spatial Spearman Cross-correlations;T
LaggedCrossCorSpearman2;index.spatial.laggedCrosCor('dates' = TRUE, 'lag' = 2, 'type' = "spearman");Lag-2 spatial Spearman Cross-correlations;T
LaggedCrossCorSpearman3;index.spatial.laggedCrosCor('dates' = TRUE, 'lag' = 3, 'type' = "spearman");Lag-3 spatial Spearman Cross-correlations;T
